Name,Description,Rating,Reviews,Launched Date,Categories,Support Email
Passport Shipping ," Passport is the most affordable way to ship internationally from the US with Duties/Taxes included.  Passport is an international shipping carrier built for eCommerce businesses. With Passport, you can view order information and fulfill orders right from the app, and your customers can see where their package is at every step of the way- from your warehouse to their doorstep.   Passport is an international shipping carrier built for eCommerce businesses. With Passport, you can view order information and fulfill orders right from the app, and your customers can see where their package is at every step of the way- from your warehouse to their doorstep.  more         Ship with duty and tax prepaid from the US to 150+ countries         Get the lowest international shipping rates on the market         You and your customers receive world-class, high touch customer support         Automated export and import documentation with zero paperwork         Easy to get started with Passport’s Shopify App    ",Rating (5),5,"August 25, 2022","Shipping labels, Shipping rate calculator, Shipping labels, Shipping rate calculator",partners@passportshipping.com
Free Gifts BOGO Cart Upsell ," Create and customize gift-with-purchase promotions. Powerful tools help boost your product sales.  FreeGift by Sortecom helps you create gift-with-purchase promotions with infinite types of rules like BOGO, buy X get Y, spend a certain amount of money get Y, buy X get discount of Y, and so on. 

This app allows you to display dynamic on-page pop-ups that attract customers’ attention and stimulate quicker purchasing decisions. Moreover, an analytics system is included to track the important data more easily.   FreeGift by Sortecom helps you create gift-with-purchase promotions with infinite types of rules like BOGO, buy X get Y, spend a certain amount of money get Y, buy X get discount of Y, and so on. 

This app allows you to display dynamic on-page pop-ups that attract customers’ attention and stimulate quicker purchasing decisions. Moreover, an analytics system is included to track the important data more easily.  more         Infinite campaign creation that work with all types of carts         Multiple campaigns running at the same time         Customize notification badges and popups to attract customers’ attention         Powerful analytics that identify best-selling gifts and profitable campaigns    ",Rating (4.7),23,"October 11, 2022","Gift with purchase, Buy one, get one (BOGO), Gift with purchase, Buy one, get one (BOGO)",support@techverest.com
Angle 3D Configurator ‑3D & AR ," Offer a 3D & AR product customization experience to your customers.  Compatible with Online Store 2.0 & older themes.

The app will allow you to create and display a 3D product customization experience for your customers.
It will allow them to customize your products in 3D with photorealistic details, and fully engage.

All you need to get started is a 3D model of your product.

Contact us and we will get you a 3D model and get you started in no time.

Do not hesitate, we\'ll be happy to hop on a call anytime you like.   Compatible with Online Store 2.0 & older themes.

The app will allow you to create and display a 3D product customization experience for your customers.
It will allow them to customize your products in 3D with photorealistic details, and fully engage.

All you need to get started is a 3D model of your product.

Contact us and we will get you a 3D model and get you started in no time.

Do not hesitate, we\'ll be happy to hop on a call anytime you like.  more         Create your own 3D customization options (Color/Textures or Product variation)         Easily bind your Shopify variants to your 3D customization options.         Offer an AR experience to your customers to view your 3D products in their space         Create conditional options logic, and offer custom text and custom image options         Totally translatable (Supports Translation Lab, Weglot, GTranslate  & Languify)    ",Rating (5),89,"April 24, 2020","Product options, 3D/AR/VR, Product options, 3D/AR/VR",support@angle3d.co
3D & AR Customize Products 360 ," Custom products, personalizer, customizer, infinite options, FREE 3D & AR, product page builder.  Allow customers to see the real-time changes of the 3D model as they select the product style of their interest, and to view and experience the product in real life through augmented reality (AR). Paas3D product customizer is one of the most powerful ways to achieve \""what you see is what you get\"" and it will bring an immersive shopping experience to your customers. Our experienced 3D modeling team is always online to help you build 3D digital assets with fast delivery and reasonable prices.   Allow customers to see the real-time changes of the 3D model as they select the product style of their interest, and to view and experience the product in real life through augmented reality (AR). Paas3D product customizer is one of the most powerful ways to achieve \""what you see is what you get\"" and it will bring an immersive shopping experience to your customers. Our experienced 3D modeling team is always online to help you build 3D digital assets with fast delivery and reasonable prices.  more         Create 3D customization with infinite options and variants (color/texture/part).         Augmented Reality (AR) products modeling and virtual Try-on.         Custom products, 3D product personalization, customers\' DIY products.         Fully editable (text, images, theme style) customizer to fit your store theme.         POD (Print-on-demand) on 3D models, text engraving and image uploading.    ",Rating (5),4,"November 24, 2022","Product options, 3D/AR/VR, Product options, 3D/AR/VR",contact@paas3d.com
Zakeke ‑ Customizer 2D 3D ," Product customization: print-ready files, print on demand, dynamic pricing, top customizer around  Boost sales and increase customer retention with Zakeke visual customizer and 3D product configurator. Our all-in-one app allows your customers to design unique custom products and preview them in 3D and AR. Streamline your processes with our Web to Print automation, made-to-order 3D configuration, and live quoting. Integrate with your preferred print on demand (POD) platform and offer in-store design options too.   Boost sales and increase customer retention with Zakeke visual customizer and 3D product configurator. Our all-in-one app allows your customers to design unique custom products and preview them in 3D and AR. Streamline your processes with our Web to Print automation, made-to-order 3D configuration, and live quoting. Integrate with your preferred print on demand (POD) platform and offer in-store design options too.  more         Text & Image customization, change font, colors, dimensions, orientation & more         Simulate Engraving effect on your product whether it is glass, wood or steel         3D Product Configurator: customers can build their own versions of your products         Real time 3D and Augmented Reality view of your catalog         Get a Quote: customers can send you a request for a quote of the customization    ",Rating (4.4),91,"November 17, 2017","Product options, 3D/AR/VR, Product options, 3D/AR/VR",support@zakeke.zendesk.com
AR & 3D Product Viewer ," Easily add Augmented Reality (AR) & 3D technology to all of your eCommerce channels with LEVAR.  Start driving more conversions today with LEVAR’s simple, 1-click AR/3D integration. See all your SKU\'s instantly and get started towards growing your sales with AR and 3D versions of your products. Leverage 3D and Augmented Reality across all of your sales and marketing channels, from product pages to email to SMS to social media and landing pages. LEVAR’s exact-to-scale 3D and AR product models help customers view products in their space, helping to increase conversions and reduce returns.   Start driving more conversions today with LEVAR’s simple, 1-click AR/3D integration. See all your SKU\'s instantly and get started towards growing your sales with AR and 3D versions of your products. Leverage 3D and Augmented Reality across all of your sales and marketing channels, from product pages to email to SMS to social media and landing pages. LEVAR’s exact-to-scale 3D and AR product models help customers view products in their space, helping to increase conversions and reduce returns.  more         Easy 1-click integration with your store and SKUs, no uploading products needed         LEVAR quickly creates exact-to-scale 3D and Augmented Reality product models         3D and AR product activations can be used across PDP, email, SMS and social         Mobile-optimized 3D landing pages highlight key product features         Virtual Try-On options with no additional app needed    ",Rating (4.5),25,"March 30, 2020","3D/AR/VR, 3D/AR/VR",success@levar.io
Shop3D ‑ 3D Print on Demand ,"   # Print on demand re-imagined

Over 200 material to manufacture your products or custom merchandise. Enterprise-grade automates order fulfilment solutions on the most advanced software platform for powering global print on demand internet businesses.

Our Shopify print on demand app enables Artists ands Bands to turn their designs into premium quality 3d print on demand merchandise.

#Why Shop3D?
* The shop3d.io Shopify app gives you direct access to true on-demand manufacturing. Over $1m...   # Print on demand re-imagined

Over 200 material to manufacture your products or custom merchandise. Enterprise-grade automates order fulfilment solutions on the most advanced software platform for powering global print on demand internet businesses.

Our Shopify print on demand app enables Artists ands Bands to turn their designs into premium quality 3d print on demand merchandise.

#Why Shop3D?
* The shop3d.io Shopify app gives you direct access to true on-demand manufacturing. Over $1m...  more    ",Rating (3.6),7,"December 19, 2019","Print on demand (POD), Print on demand (POD)",hello@shop3d.io
3D Knitting On‑Demand ," Tailored Industry On-Demand allows you to offer high quality knitwear with no inventory!  Tailored Industry On-Demand allows you to offer high quality knitwear with no inventory or holding costs! Choose the styles you want, list them on your store, and we will produce them on-demand once your customers place an order. Our cutting-edge 3D Knitting machines allow us to produce high quality knitwear in Brooklyn, New York!   Tailored Industry On-Demand allows you to offer high quality knitwear with no inventory or holding costs! Choose the styles you want, list them on your store, and we will produce them on-demand once your customers place an order. Our cutting-edge 3D Knitting machines allow us to produce high quality knitwear in Brooklyn, New York!  more         Design & Launch knitwear fast and produce with a 3-6 day turnaround         Producing on-demand means no inventory and ZERO minimum order quantity (MOQ)         After covering membership fees, each unit is sold with a guaranteed profit!    ",Rating (5),5,"September 7, 2020","Dropshipping, Dropshipping",sales@tailoredindustry.com
FX: 3D Easter Seasonal Effects ," Decorate your store with 3D effects & decors for St Patricks Day.
180+ holiday decorations available  3D Seasonal Effects allows you to create a cozy shopping atmosphere & add a festive vibe to your store with 150+ beautiful falling effects and decorations. Celebrating holidays and occasions in your store can improve interaction with your customers and boost sales and conversions.

We are constantly improving the app and adding more effects and decorations throughout the year. Celebrate the upcoming Saint Patrick\'s Day with falling leaves, Confetti Glitter, Winter snow, Easter, Christmas & more!   3D Seasonal Effects allows you to create a cozy shopping atmosphere & add a festive vibe to your store with 150+ beautiful falling effects and decorations. Celebrating holidays and occasions in your store can improve interaction with your customers and boost sales and conversions.

We are constantly improving the app and adding more effects and decorations throughout the year. Celebrate the upcoming Saint Patrick\'s Day with falling leaves, Confetti Glitter, Winter snow, Easter, Christmas & more!  more         Add beautiful Easter & St. Patrick\'s Day effects and decorations to your store!         180+ holiday themes for every holiday/occasion throughout the year: Snow & more!         Effects Scheduler: Automatically apply effects and decorations at any date         Effects Timeout: The falling effect & decorations can disappear after some time         The effects and decorations are constantly monitored for speed and performance.    ",Rating (4.9),109,"January 17, 2020","Seasonal design, Promotions - Other, Seasonal design, Promotions - Other",support@effectify.co
The Courier Guy , The Courier Guy allows the seller to give live courier quotes and ship your parcels easily.  The Courier Guy bypasses manual shipment detail capturing and allows for waybill printing within the website orders page. It has built a strong reputation through strong customer relations and effective personal service.   The Courier Guy bypasses manual shipment detail capturing and allows for waybill printing within the website orders page. It has built a strong reputation through strong customer relations and effective personal service.  more         Deliver anywhere in South Africa and get quotes from multiple couriers.         Generate electronic shipping labels with one click.         Keep your customers updated with customisable tracking notifications.    ,Rating (3),2,"July 22, 2022","Shipping labels, Shipping rate calculator, Shipping labels, Shipping rate calculator",it@thecourierguy.co.za
