Name,Description,Rating,Reviews,Launched Date,Categories,Support Email
Beae ‑ Landing Page Builder ," Create pages and build up your stores to boost sales with a powerful page builder  Beae allows you more flexibility on individual pages and areas within your theme that you can’t customize within your Shopify theme settings. We help save developer hiring expenses with our library of elements and pre-made templates. Add bonus pages, like FAQs, “Contact Info” or “About Us”. Design mobile responsive & SEO-optimized landing pages, homepages, product pages, collections, and blog posts. Build sections to add your existing pages. Try Beae for free now!   Beae allows you more flexibility on individual pages and areas within your theme that you can’t customize within your Shopify theme settings. We help save developer hiring expenses with our library of elements and pre-made templates. Add bonus pages, like FAQs, “Contact Info” or “About Us”. Design mobile responsive & SEO-optimized landing pages, homepages, product pages, collections, and blog posts. Build sections to add your existing pages. Try Beae for free now!  more         Easy-to-use drag-and-drop page builder, popup builder, theme section builder         Optimized for mobile devices & automatically SEO suggestion         400+ templates and 65+ elements like image comparison, breadcrumb, text marquee         Integrated with 95 apps, multi-language support, support all Shopify themes         24/7 chat support available on free plan    ",Rating (5),204,"November 22, 2021
          ·","Page builder, SEO, Page builder, SEO",support@beae.com
All‑in‑One Volume Discounts ," Set up automatically applied volume discounts. Promote tiered pricing. Display bulk savings on cart.  Volume Discounts that can be easily setup, automatically applied, and professionally promoted!

Create bulk prices / tiered discount which increase based on order size or quantity breaks. 

Setup tiered pricing to apply to all products or a custom selection. Apply a variable percentage or fixed amount discount per product. Ex: 5% off 2+ items, 10% off 5+ items.

Promote volume discounts on any page- product, collection, cart!

Use our optimized cart summary to show total savings on cart.   Volume Discounts that can be easily setup, automatically applied, and professionally promoted!

Create bulk prices / tiered discount which increase based on order size or quantity breaks. 

Setup tiered pricing to apply to all products or a custom selection. Apply a variable percentage or fixed amount discount per product. Ex: 5% off 2+ items, 10% off 5+ items.

Promote volume discounts on any page- product, collection, cart!

Use our optimized cart summary to show total savings on cart.  more         Setup & promote bulk quantity volume discount tiers to increase AOV & conversion         Use our discount promotion widgets to show customers their savings as they shop!         The cart summary of the discount app shows total discount savings + new subtotal         Easily offer discounts based on item/order volume quantity- Buy X and Get % Off.         Display discounted tiered pricing on product and cart pages to increase AOV.    ",Rating (5),10,"November 8, 2022","Discounts, Buy one, get one (BOGO), Discounts, Buy one, get one (BOGO)",support@volumediscountsapp.com
All‑in‑One Free Gift on Cart ," Offer free gifts with purchase, auto-show free products in cart, and promote/track freebie progress.  All free gift features in one app!
Our blazing fast free gift app allows your shop to offer free gifts and free shipping based on cart conditionals, shows customers earned free gifts in cart, and provides a free gift promotion widget- all of which can often lead to increased conversion rate & AOV!

Create and manage free gift offers and start promoting them in minutes! 

Track customer progress towards earning free items in real-time without page refresh!

Easy self-install, no code required!   All free gift features in one app!
Our blazing fast free gift app allows your shop to offer free gifts and free shipping based on cart conditionals, shows customers earned free gifts in cart, and provides a free gift promotion widget- all of which can often lead to increased conversion rate & AOV!

Create and manage free gift offers and start promoting them in minutes! 

Track customer progress towards earning free items in real-time without page refresh!

Easy self-install, no code required!  more         Automatically add free gifts on cart- Show customers rewards for spending more!         Free gift promotion widget- Display available free gifts to customers sitewide!         Custom cart upsell goals- Rewards can be based on subtotal or cart item count.         Use our progress bar to display multiple incremental goals and increase AOV!         Display total item value savings in cart items to imply value of free gifts!    ",Rating (4.9),68,"October 21, 2021","Gift with purchase, Promotions - Other, Gift with purchase, Promotions - Other",support@freegiftoncartmanager.com
G | translate ," Translate your store quickly and easily. Add languages to increase sales by going global.  With G | translate you can easily translate your content into multiple languages. 
We provide different customizable language selectors to match any store design. Automatic translations help to get instant results, then you can improve the quality yourself or order professional translations. We provide in context translation editor, so you can make changes directly on the page. Products you sell can be discovered by searching the internet in any language, which is great for multilingual SEO.   With G | translate you can easily translate your content into multiple languages. 
We provide different customizable language selectors to match any store design. Automatic translations help to get instant results, then you can improve the quality yourself or order professional translations. We provide in context translation editor, so you can make changes directly on the page. Products you sell can be discovered by searching the internet in any language, which is great for multilingual SEO.  more         Unlimited automatic translations help to get instant results         Customizable lightweight language switcher to match your store design         Translation proxy technology which can translate most third party app content         URL translation to boost your multilingual SEO         Country specific top level domains for translated languages (example.es)    ",Rating (4.7),"1,843","April 4, 2017","Language and translation, Search engine optimization - Other, Language and translation, Search engine optimization - Other",info@gtranslate.net
G:Request a Quote + Hide Price ," Allows your customers to submit quotes for any product and bargain for the best price  With Globo Request for Quote, buyers can add products to quote in one click from collection and product pages as well as from the shopping cart. Let customers suggest new best-suited prices and add remarks to each quote item.

With this app you can also hide price, hide add-to-cart button of a product. Require customer login to see product prices   With Globo Request for Quote, buyers can add products to quote in one click from collection and product pages as well as from the shopping cart. Let customers suggest new best-suited prices and add remarks to each quote item.

With this app you can also hide price, hide add-to-cart button of a product. Require customer login to see product prices  more         Convert a quote to an order. Convert RFQ to PDF. REST API access         Display RFQ button on any page. Automatic send new quote email.         Customize your RFQ form with Form Builder: upload file, text, email, phone, etc.         Login to see price. Hide product prices based on tag, vendor, collection, etc.    ",Rating (4.9),295,"June 8, 2017","Custom pricing and quotes, Custom pricing and quotes",apps@globosoftware.net
File Uploads by UploadKit ," Create personalized products for your customers with UploadKit\'s seamless file upload fields  Let your customers pick their file to upload from wherever it is already - in their phone, on their computer, or from their Facebook, Instagram or Dropbox account. 

It\'s then uploaded fast and reliably, shown on the product page and in their cart, and available for you to download directly from your Shopify dashboard as soon as the order is placed.

And with our Google Drive integration, the files will be downloaded direct to your team\'s computers entirely automatically.   Let your customers pick their file to upload from wherever it is already - in their phone, on their computer, or from their Facebook, Instagram or Dropbox account. 

It\'s then uploaded fast and reliably, shown on the product page and in their cart, and available for you to download directly from your Shopify dashboard as soon as the order is placed.

And with our Google Drive integration, the files will be downloaded direct to your team\'s computers entirely automatically.  more         Accept files from phones, computers, Facebook, Instagram and more         Let customers preview, auto-enhance, rotate, sharpen and crop images         Automatically sync uploaded files to your Google Drive for faster order handling         Attach file fields to collections, products or even individual variants         Loads super-fast, and works on all devices    ",Rating (5),164,"September 26, 2018","Product options, Custom file upload, Product options, Custom file upload",hello@getuploadkit.com
G:Store Pickup Local Delivery ," Allows pickup in-store, local delivery as a shipping method.  Show store locations with a nice and neat user interface. Help customers get info & interact with stores easily. Easy add store locator
Allows pickup in-store as a shipping method. Your customer could choose the pickup date & time. They can also choose the pickup location
Powerful local delivery solution. You can charge delivery based on the cart total. Customer can choose delivery date & time   Show store locations with a nice and neat user interface. Help customers get info & interact with stores easily. Easy add store locator
Allows pickup in-store as a shipping method. Your customer could choose the pickup date & time. They can also choose the pickup location
Powerful local delivery solution. You can charge delivery based on the cart total. Customer can choose delivery date & time  more         Store pickup         Store locator         Local delivery    ",Rating (4.5),96,"December 13, 2017","In-store pickups, Store locator, In-store pickups, Store locator",hi@globosoftware.net
G1 Branded Shipping Warranties ," Shipping insurance sucks doesn\'t it? Offer branded shipping warranties and keep the money!  You\'ve heard of other shipping insurance companies using customer dollars to route money to their own pockets! 

BIG SECRET: Merchants can offer their own branded shipping warranties to their customers and cut out the middle man! G1 app allows you to set up your own merchant sponsored shipping warranty. Set your own terms, pricing, icon, etc.

THE OLD WAY: Was only good for the insurance company! It\'s time to go a different route! Install app, 5 minute setup, make money!   You\'ve heard of other shipping insurance companies using customer dollars to route money to their own pockets! 

BIG SECRET: Merchants can offer their own branded shipping warranties to their customers and cut out the middle man! G1 app allows you to set up your own merchant sponsored shipping warranty. Set your own terms, pricing, icon, etc.

THE OLD WAY: Was only good for the insurance company! It\'s time to go a different route! Install app, 5 minute setup, make money!  more         Insurance Sucks.

Dirty little insurance secret: most packages won\'t get lost!         Keep the money.

Merchants sponsor the warranty, keep the rest of the money!         Add your logo.

Approve/deny cases, set the warranty price, control the terms!    ",Rating (4.7),6,"November 4, 2019","Warranties and insurance, Warranties and insurance",(801) 901-3034
Terms and Conditions Pro+  ," Premium Terms & Conditions App - Product, Collections Specific, Supported Dynamic Checkout, Popup  Looking for a complete terms and conditions checkbox solution for your Shopify or Shopify Plus store? In the Shopify Terms and Conditions Pro app, you need to show an elegant Terms & Conditions checkbox (or whatever policy you want your customers to agree with) on your store. Make your customers agree to your terms and conditions with our Premium Terms and Conditions Checkbox before they check out & keep a record of the customer agreeing to your terms for legal compliance with data and time.   Looking for a complete terms and conditions checkbox solution for your Shopify or Shopify Plus store? In the Shopify Terms and Conditions Pro app, you need to show an elegant Terms & Conditions checkbox (or whatever policy you want your customers to agree with) on your store. Make your customers agree to your terms and conditions with our Premium Terms and Conditions Checkbox before they check out & keep a record of the customer agreeing to your terms for legal compliance with data and time.  more         Show the Terms and Condition checkbox agreement on your Product and Cart Page.         Show Terms and Conditions Checkbox with Popup or simple Checkbox  mode.         Products & Collection Specific Terms & Conditions box on Product & Cart Page         Supports Dynamic Checkout Buttons like Paypal, Appel Pay, G pay, Shop Pay         Show / Hide terms and Conditions  Checkbox on Cart based on added Products    ",Rating (5),28,"September 16, 2020","Legal, Privacy, Legal, Privacy",appsupport@mswebdesigner.com
Starstream ‑ online events ," Sell secure access to live stream, webinar, online event, virtual and physical event.  Starstream specializes in selling tickets to online events securely. Live stream access is protected by \""Starstream Secure Login™️\"". Any video platform is supported (Youtube, Zoom, Google Meet, Vimeo and more). Hosting on your store is also supported. 

Starstream maximises engagement by adding the event to viewers\' calendar and sending notifications when the event begins. Tickets are customizable to fit your brand. Replay can be sent when the event finishes. Physical events are also supported.   Starstream specializes in selling tickets to online events securely. Live stream access is protected by \""Starstream Secure Login™️\"". Any video platform is supported (Youtube, Zoom, Google Meet, Vimeo and more). Hosting on your store is also supported. 

Starstream maximises engagement by adding the event to viewers\' calendar and sending notifications when the event begins. Tickets are customizable to fit your brand. Replay can be sent when the event finishes. Physical events are also supported.  more         Supports all video platforms (Youtube, Zoom, Vimeo, G Meet, Shopify Store, ...)         \""Starstream Secure Login\"" protects livestream with login protection (optional).         Customize your tickets to match the look of your brand.    ",Rating (5),1,"July 20, 2020","Appointment booking, Event calendar, Appointment booking, Event calendar",support@starstream.app
