Name,Description,Rating,Reviews,Launched Date,Categories,Support Email
CJdropshipping ," Product sourcing and auto-listing feature.
Convenient and fast order fulfillment & delivery.  Trending products recommendation with CJ\'s big-data powered system. Sales promotion under the auspices of marketing tools. Access to a professional agent with 24/7 online support. A variety of products at factory price, prepared to be listed to your store. Products and packaging customization (POD, OEM) with dropshipping service. Convenient order syncing & fulfillment service. Efficient local warehouse delivery service (general delivery time of 2-3 days).   Trending products recommendation with CJ\'s big-data powered system. Sales promotion under the auspices of marketing tools. Access to a professional agent with 24/7 online support. A variety of products at factory price, prepared to be listed to your store. Products and packaging customization (POD, OEM) with dropshipping service. Convenient order syncing & fulfillment service. Efficient local warehouse delivery service (general delivery time of 2-3 days).  more         CJ products are supportive of DIY bundle products combination.         The optimized shipping method will be automatically applied to your orders.         Use the Shipping Calculation feature to measure shipping methods & costs.         Product reviews are able to be imported to your stores.         Import products on 1688, Taobao, AliExpress to your stores via Google extension.    ",Rating (4.8),"3,177","January 6, 2020","Dropshipping, Managing orders - Other, Dropshipping, Managing orders - Other",+1 909-636-0222
J&T Express Malaysia ,"   #Introduction
By using J&T Express APP, you will obtain a more simple, smoother and faster shipment process which will allow you to order, manage and generate consignment notes faster and more efficient using a single platform. 

#Highlights:

#Creating orders
* Create orders more efficiently using one platform albeit single or bulk orders. No longer required to access J&T platform to create shipment orders.

#Cancel Orders
* Directly cancel orders that were made all from one platform without...   #Introduction
By using J&T Express APP, you will obtain a more simple, smoother and faster shipment process which will allow you to order, manage and generate consignment notes faster and more efficient using a single platform. 

#Highlights:

#Creating orders
* Create orders more efficiently using one platform albeit single or bulk orders. No longer required to access J&T platform to create shipment orders.

#Cancel Orders
* Directly cancel orders that were made all from one platform without...  more    ",Rating (1),1,"October 20, 2020","Shipping labels, Shipping labels",support@jtexpress.my
Optimiize SEO ," Allows you to have full control over NoIndex, NoFollow meta tags, and the XML sitemap.  When you apply NoIndex to a page, search engines like Google, Bing, and Yahoo will be informed that those pages have been marked as NoIndex, and they will not be crawled or indexed as a result.

It will save you a lot of time and help you gain more organic traffic faster.   When you apply NoIndex to a page, search engines like Google, Bing, and Yahoo will be informed that those pages have been marked as NoIndex, and they will not be crawled or indexed as a result.

It will save you a lot of time and help you gain more organic traffic faster.  more         Improves coverage, duplicate content issues and indexation of your store         SEO friendly sitemap that Search engines love         Manage XML Sitemap and add NoIndex, NoFollow to boost SEO    ",Rating (3.2),2,"August 19, 2021","SEO, SEO",success@jlouis.com
Shipdeo 3PL Aggregator ,"   Shipdeo is an application that makes it easy for you to deliver goods to the rest of Indonesia use various couriers which you can define yourself. Shipdeo has become the official partner of many shipping service couriers such as JNE, J&T, Sicepat, SAP, Anteraja, Ninja, JX, and Gosend. You can choose the courier that suits your needs based on shipping costs, delivery duration, and service rates for each courier.

Here are some of the features of shipdeo:

#Manage Orders
Manage orders using the...   Shipdeo is an application that makes it easy for you to deliver goods to the rest of Indonesia use various couriers which you can define yourself. Shipdeo has become the official partner of many shipping service couriers such as JNE, J&T, Sicepat, SAP, Anteraja, Ninja, JX, and Gosend. You can choose the courier that suits your needs based on shipping costs, delivery duration, and service rates for each courier.

Here are some of the features of shipdeo:

#Manage Orders
Manage orders using the...  more    ",Rating (5),8,"January 19, 2021","Order and shipping reports, Order and shipping reports",+62 878-9775-9000
Airfields ,"   # Extend your store with any kind of data anywhere.
Add the right information in the right places. Now It\'s up to you where to add an \""Additional description\"" or \""Extra images\"". 

# Use an interface you know
If you are familiar with the Shopify interface then working with Airfields will be a breeze. We\'ve developed our plugin based on Shopify Polaris, this means that we are using exactly the same interface elements as native Shopify.

# Example use cases
Whenever you need to add...   # Extend your store with any kind of data anywhere.
Add the right information in the right places. Now It\'s up to you where to add an \""Additional description\"" or \""Extra images\"". 

# Use an interface you know
If you are familiar with the Shopify interface then working with Airfields will be a breeze. We\'ve developed our plugin based on Shopify Polaris, this means that we are using exactly the same interface elements as native Shopify.

# Example use cases
Whenever you need to add...  more    ",Rating (4.6),13,"September 26, 2018","Metafields, Metafields",support@airfields.io
Judge.me Product Reviews ," Collect and display product reviews and star ratings. Build trust and boost sales with social proof.  Judge.me is a fast-loading, fully customizable review app in 37 languages.
Schedule automatic emails to get reviews with photos and videos after order fulfillment or delivery, or import them from other apps. Improve your conversion rate by showing reviews and UGC on your storefront widgets, sharing them on social media, and adding stars on Google for SEO. Setup is easy and tailored to your store: customize widget texts, colors, and themes, or ask our 24/7 support team for basic design tweaks.   Judge.me is a fast-loading, fully customizable review app in 37 languages.
Schedule automatic emails to get reviews with photos and videos after order fulfillment or delivery, or import them from other apps. Improve your conversion rate by showing reviews and UGC on your storefront widgets, sharing them on social media, and adding stars on Google for SEO. Setup is easy and tailored to your store: customize widget texts, colors, and themes, or ask our 24/7 support team for basic design tweaks.  more         Unlimited email review requests with photo and video, and in-email review forms         Display star ratings, store and product reviews, trust badges, reviews carousel         Share reviews on Facebook, Instagram, Twitter, rich snippets and Google Shopping         Synchronize and group product reviews across different products and stores         Engage your reviewers with Q&A, coupons, and email marketing integrations    ",Rating (5),"13,899","June 25, 2015
          ·","Product reviews, SEO, Product reviews, SEO",support@judge.me
Meowship ," Connect your store with GHN, GHTK, J&T Express for shipping and fulfillment.  Connect with multiple couriers and instant delivery in Vietnam. Save time & money with automation & rules. Custom notification via email, sms and Zalo.   Connect with multiple couriers and instant delivery in Vietnam. Save time & money with automation & rules. Custom notification via email, sms and Zalo.  more         Push orders to multiple couriers         Track orders from many sources in one place         Automation flows & rules    ",Rating (5),2,"March 2, 2022","Shipping labels, Order and shipping reports, Shipping labels, Order and shipping reports",support@meowcart.net
Sc Product Bulk Editor ," Is updating your catalog time-consuming? Sc Product Bulk Editor offers you the tool for managing it.  With the App Sc Product Bulk Editor you’re going to differentiate yourself from the competition with the ability to efficiently filter/control/check your prices, images or any other missing data and add them quickly.

Benefits for you: Save time working. Manage efficiently variants. Easy update of your catalog.

Benefits of the App: A single interface to manage all your product catalog. Synchronization in real time with your store. Price adapted to your activity: pay as you use   With the App Sc Product Bulk Editor you’re going to differentiate yourself from the competition with the ability to efficiently filter/control/check your prices, images or any other missing data and add them quickly.

Benefits for you: Save time working. Manage efficiently variants. Easy update of your catalog.

Benefits of the App: A single interface to manage all your product catalog. Synchronization in real time with your store. Price adapted to your activity: pay as you use  more         Create, modify products and collections directly avoiding tedious imports.         Lost among your data? Handle seamlessly your most complex products in an ergonom         Organize products and manual collections or automated collections with tags in j    ",Rating (2.9),3,"December 18, 2020","Bulk editor, Collection manager, Bulk editor, Collection manager",+33 9 75 66 44 44
EZIE Shipping Optimizer ," Connect EZIE App Shipping Optimizer and get access +45 shipping providers across Southeast Asia  EZIE App is the largest shipping aggregator app in Southeast Asia with +45 shipping providers 
- Singapore: J&T express, Qxpress, Ninja Van, Uparcel, Grab, Gogox, Lalamove and ++
- Malaysia: J&T express, NinjaVan, Flash express, Pickupp, Borzo, Lalamove and ++
- Indonesia: JNE, J&T expresss, NinjaVan, Sicepat, Anteraja, Grab, Borzo, Paxel and ++
- Philippines: J&T express, NinjaVan, Flash express, Borzo, Lalamove and ++
- Vietnam: J&T express, NinjaVan, GHKN, Ahamove, Grab and ++   EZIE App is the largest shipping aggregator app in Southeast Asia with +45 shipping providers 
- Singapore: J&T express, Qxpress, Ninja Van, Uparcel, Grab, Gogox, Lalamove and ++
- Malaysia: J&T express, NinjaVan, Flash express, Pickupp, Borzo, Lalamove and ++
- Indonesia: JNE, J&T expresss, NinjaVan, Sicepat, Anteraja, Grab, Borzo, Paxel and ++
- Philippines: J&T express, NinjaVan, Flash express, Borzo, Lalamove and ++
- Vietnam: J&T express, NinjaVan, GHKN, Ahamove, Grab and ++  more         Standard delivery service with J&T express, NinjaVan, Flash express, Janio, JNE,         Instant delivery service with Lalamove, Grab, Uparcel, Borzo, Gogox, Paxel, etc.         International delivery service with J&T express, Janio, Aramex, DHL ecom, etc.    ",Rating (2.3),3,"July 22, 2021","Outsourced fulfillment, Packing slips, Outsourced fulfillment, Packing slips",+6598851460
IndoShipping ," Realtime shipping cost calculation app for Indonesian merchants.  Indoshipping adds local real-time shipping cost calculation on the checkout page. The shipping rates are taken directly from the shipping carrier server using API. 

The app installation is very straightforward. No theme changes required. It will be integrated into the Shopify checkout system directly as soon as you complete the configuration.

All of the popular shipping carriers in Indonesia are available. Such as JNE, J&T, Sicepat, Ninja, Anteraja, POS, TIKI, Wahana, LION, TGI , etc.   Indoshipping adds local real-time shipping cost calculation on the checkout page. The shipping rates are taken directly from the shipping carrier server using API. 

The app installation is very straightforward. No theme changes required. It will be integrated into the Shopify checkout system directly as soon as you complete the configuration.

All of the popular shipping carriers in Indonesia are available. Such as JNE, J&T, Sicepat, Ninja, Anteraja, POS, TIKI, Wahana, LION, TGI , etc.  more         Easy to Install on Your Website         Accurate and real time shipping rate calculation.         Support all of the popular shipping carriers in Indonesia.         Supports International Shipping.    ",Rating (3.7),6,"September 23, 2019","Shipping rate calculator, Shipping rate calculator",+62831-7472-5919
