Price,Beds,Baths,URL,Sqft,Address,State,Zip_code,Sold Description,Status
"$1,379,462",3,2,https://www.redfin.com/CA/Orinda/22-Bates-Blvd-94563/home/703338,"['1,825']",22 Bates Blvd,CA,94563,"This home last sold for $1,400,000 on Jul 2, 2021.",Off Market
"$1,705,408",3,3,https://www.redfin.com/CA/Orinda/392-Camino-Sobrante-94563/home/812885,"['2,391']",392 Camino Sobrante,CA,94563-1846,"This home last sold for $1,525,000 on May 27, 2020.",Off Market
"$2,342,157",5,4.5,https://www.redfin.com/CA/Orinda/653-Miner-Rd-94563/home/572138,"['3,248']",653 Miner Rd,CA,94563,"This home last sold for $2,500,000 on Jul 2, 2021.",Off Market
"$1,774,515",3,2.5,https://www.redfin.com/CA/Orinda/85-Oak-Rd-94563/home/739867,"['2,131']",85 Oak Rd,CA,94563,"This home last sold for $1,480,000 on Feb 27, 2020.",Off Market
"$1,655,128",4,2,https://www.redfin.com/CA/Moraga/37-Sullivan-Dr-94556/home/1005370,"['2,013']",37 Sullivan Dr,CA,94556,"This home last sold for $1,500,000 on Jan 13, 2021.",Off Market
"$2,638,700",4,3.5,https://www.redfin.com/CA/Orinda/23-Woodland-Rd-94563/home/942146,"['2,913']",23 WOODLAND Rd,CA,94563,"This home last sold for $2,800,000 on Jun 8, 2021.",Off Market
"$1,206,688",2,1.5,https://www.redfin.com/CA/Orinda/19-Vallecito-Ln-94563/home/648893,"['1,672']",19 Vallecito Ln,CA,94563,"This home last sold for $1,200,000 on Oct 13, 2020.",Off Market
"$2,156,731",4,4,https://www.redfin.com/CA/Orinda/138-Fiesta-Cir-94563/home/942088,"['2,220']",138 Fiesta Cir,CA,94563,"This home last sold for $2,850,000 on Jul 29, 2022.",Off Market
"$1,800,000",3,2,https://www.redfin.com/CA/Orinda/40-Camino-Don-Miguel-94563/home/1025030,"['1,694']",40 Camino Don Miguel,CA,94563,This home sold 4 months ago.,Recently Sold
"$1,993,962",5,3.5,https://www.redfin.com/CA/Orinda/23-Oak-Rd-94563/home/813014,"['3,483']",23 Oak Rd,CA,94563,"This home last sold for $1,725,000 on Jun 18, 2019.",Off Market
"$886,656",3,3,https://www.redfin.com/CA/Moraga/179-Miramonte-Dr-94556/home/902363,"['1,742']",179 Miramonte Dr,CA,94556-1003,"This home last sold for $950,000 on Apr 1, 2022.",Off Market
"$4,305,316",4,4,https://www.redfin.com/CA/Lafayette/222-Camelia-Ln-94549/home/1006410,"['4,299']",222 Camellia Ln,CA,94549,"This home last sold for $5,800,000 on Jun 6, 2022.",Off Market
